START_DT;END_DT;CLIENT_NAME;YEAR_BIRTH;CLIENT_ID
2016-07-12;2021-01-01;Millie;1983;863
2016-07-13;2021-01-01;June;1983;1503
2016-07-14;2021-01-01;Khloe;1983;1851
2016-07-15;2021-01-01;Callie;1983;2248
2016-07-16;2021-01-01;Juliette;1983;4219
2016-07-17;2021-01-01;Sage;1983;1204
2016-07-18;2021-01-01;Ada;1983;4639
2016-07-19;2021-01-01;Anastasia;1983;3342
2016-07-20;2021-01-01;Olive;1983;3269
2016-07-21;2021-01-01;Alani;1983;1672
2016-07-22;2021-01-01;Brianna;1983;3116
2016-07-23;2021-01-01;Rosalie;1983;573
2016-07-24;2021-01-01;Molly;1983;1231
2016-07-25;2021-01-01;Brynlee;1983;2958
2016-07-26;2021-01-01;Amy;1983;2664
2016-07-27;2021-01-01;Ruth;1983;2785
2016-07-28;2021-01-01;Aubree;1983;733
2016-07-29;2021-01-01;Gemma;1983;4905
2016-07-30;2021-01-01;Taylor;1983;4437
2016-07-31;2021-01-01;Oakley;1983;4483
2016-08-01;2021-01-01;Margot;1983;741
2016-08-02;2021-01-01;Arabella;1983;1295
2016-08-03;2021-01-01;Sara;1983;838
2016-08-04;2021-01-01;Journee;1983;464
2016-08-05;2021-01-01;Harmony;1983;1881
2016-08-06;2021-01-01;Blake;1983;3658
2016-08-07;2021-01-01;Alaina;1983;3734
2016-09-07;2021-01-01;Aspen;1983;3218
2016-09-08;2021-01-01;Noelle;1983;943
2016-09-09;2021-01-01;Selena;1983;1292
2016-09-10;2021-01-01;Oaklynn;1983;4471
2016-09-11;2021-01-01;Morgan;1983;1074
2016-09-12;2021-01-01;Londyn;1983;4331
2016-09-13;2021-01-01;Zuri;1983;3433
2016-09-14;2021-01-01;Aliyah;1983;1471
2016-09-15;2021-01-01;Jordyn;1983;4416
2016-09-16;2021-01-01;Juliana;1983;2424
2012-09-18;2021-07-23;Finley;1968;4364
2012-09-19;2021-07-23;Presley;1968;1353
2012-09-20;2021-07-23;Zara;1968;40
2012-09-21;2021-07-23;Leila;1968;3774
2012-09-22;2021-07-23;Marley;1968;913
2012-09-23;2021-07-23;Sawyer;1968;4537
2012-09-24;2021-07-23;Amira;1968;3311
2012-09-25;2021-07-23;Lilly;1968;4957
2012-09-26;2021-07-23;London;1968;4301
2012-09-27;2021-07-23;Kimberly;1968;876
2012-09-28;2021-07-23;Elsie;1968;199
2012-09-29;2021-07-23;Ariel;1968;4981
2012-09-30;2021-07-23;Lila;1968;3709
2012-10-01;2021-07-23;Alana;1968;1048
2012-10-02;2021-07-23;Diana;1968;4102
2012-10-03;2021-07-23;Kamila;1968;3485
2012-10-04;2021-07-23;Nyla;1968;3012
2012-10-05;2021-07-23;Vera;1968;3742
2012-10-06;2021-07-23;Hope;1968;2455
2012-10-07;2021-07-23;Annie;1969;2389
2012-10-08;2021-07-23;Kaia;1969;1705
2012-10-09;2021-07-23;Myla;1969;1799
2012-10-10;2021-07-23;Alyssa;1969;1708
2012-10-11;2021-07-23;Angela;1969;3059
2012-10-12;2021-07-23;Ana;1969;1453
2012-10-13;2021-07-23;Lennon;1969;423
2018-09-23;2021-07-23;Evangeline;1992;4118
2018-09-24;2021-07-23;Harlow;1992;624
2018-09-25;2021-07-23;Rachel;1992;4672
2018-09-26;2021-07-23;Gracie;1992;4616
2018-10-25;2021-07-23;Rowan;1992;3847
2018-10-26;2021-07-23;Laila;1992;2317
2018-10-27;2021-07-23;Elise;1992;2845
2018-10-28;2021-07-23;Sutton;1992;1111
2018-10-29;2021-07-23;Lilah;1992;4284
2018-10-30;2021-07-23;Adelyn;1992;1240
2019-06-28;2021-07-23;Phoebe;1995;905
2019-06-29;2021-07-23;Octavia;1995;3632
2019-06-30;2021-07-23;Sydney;1995;2408
2019-07-01;2021-07-23;Mariana;1995;4466
2019-07-02;2021-07-23;Wren;1995;2014
2019-07-03;2021-07-23;Lainey;1995;3710
2019-07-04;2021-07-23;Vanessa;1995;3457
2019-07-05;2021-07-23;Teagan;1995;3331
2019-07-06;2021-07-23;Kayla;1995;4803
2019-07-07;2021-07-23;Malia;1995;1738
2019-07-08;2021-07-23;Elaina;1995;1255
2019-07-09;2021-07-23;Saylor;1995;1634
2019-07-10;2021-07-23;Brooke;1995;3018
2019-07-11;2021-07-23;Lola;1995;2830
2019-07-12;2021-07-23;Miriam;1995;70
2019-07-13;2021-07-23;Alayna;1995;1305
2019-07-14;2021-07-23;Adelaide;1995;2142
2010-09-21;2999-12-31;Daniela;1953;2936
2010-09-22;2999-12-31;Jane;1953;3763
2010-09-23;2999-12-31;Payton;1953;1423
2010-09-24;2999-12-31;Journey;1953;4814
2010-09-25;2999-12-31;Lilith;1953;4334
2010-09-26;2999-12-31;Delaney;1953;405
2010-09-27;2999-12-31;Dakota;1953;3626
2010-09-28;2999-12-31;Mya;1953;4558
2010-09-29;2999-12-31;Charlee;1953;3272
2010-09-30;2999-12-31;Alivia;1954;4961
2010-10-01;2999-12-31;Annabelle;1954;2323
2010-10-02;2999-12-31;Kailani;1954;4489
2010-10-03;2999-12-31;Lucille;1954;1597
2010-10-04;2999-12-31;Trinity;1954;819
2010-10-05;2999-12-31;Gia;1954;3558
2010-10-06;2999-12-31;Tatum;1954;3261
2010-10-07;2999-12-31;Raegan;1954;1075
2010-10-08;2999-12-31;Camille;1954;3937
2010-10-09;2999-12-31;Kaylani;1954;4783
2010-10-10;2999-12-31;Kali;1954;390
2010-10-11;2999-12-31;Stevie;1954;2822
2010-10-12;2999-12-31;Maggie;1954;2080
2010-10-13;2999-12-31;Haven;1954;1975
2010-10-14;2999-12-31;Tessa;1954;4709
2010-10-15;2999-12-31;Daphne;1954;4134
2010-10-16;2999-12-31;Adaline;1954;1304
2010-10-17;2999-12-31;Hayden;1954;4586
2010-10-18;2999-12-31;Joanna;1954;2119
2010-10-19;2999-12-31;Jocelyn;1954;1
2010-10-20;2999-12-31;Lena;1954;4012
2010-10-21;2999-12-31;Evie;1954;1887
2010-10-22;2999-12-31;Juliet;1954;4679
2010-10-23;2999-12-31;Fiona;1954;2355
2010-10-24;2999-12-31;Cataleya;1954;369
2010-10-25;2999-12-31;Angelina;1954;1326
2010-10-26;2999-12-31;Leia;1954;3368
2010-10-27;2999-12-31;Paige;1954;1527
2010-10-28;2999-12-31;Julianna;1954;775
2010-10-29;2999-12-31;Milani;1954;1606
2010-10-30;2999-12-31;Talia;1954;4202
2010-10-31;2999-12-31;Rebecca;1954;254
2010-11-01;2999-12-31;Kendall;1954;1140
2010-11-02;2999-12-31;Harley;1954;3881
2010-11-03;2999-12-31;Lia;1954;3440
2010-11-04;2999-12-31;Phoenix;1954;4779
2010-11-05;2999-12-31;Dahlia;1954;1872
2010-11-06;2999-12-31;Logan;1954;4992
2010-11-07;2999-12-31;Camilla;1954;1245
2010-11-08;2999-12-31;Thea;1954;2952
2010-11-09;2999-12-31;Jayla;1954;1576
2010-11-10;2999-12-31;Brooklynn;1954;1645
2010-11-11;2999-12-31;Blair;1954;2679
2010-11-12;2999-12-31;Vivienne;1954;3860
2010-11-13;2999-12-31;Hallie;1954;1709
2010-11-14;2999-12-31;Madilyn;1954;2965
2010-11-15;2999-12-31;Mckenna;1954;2773
2010-11-16;2999-12-31;Evelynn;1954;1036
2010-11-17;2999-12-31;Ophelia;1954;2538
2010-11-18;2999-12-31;Celeste;1954;3064
2010-11-19;2999-12-31;Alayah;1955;2594
2010-11-20;2999-12-31;Winter;1955;1843
2010-11-21;2999-12-31;Catherine;1955;4904
2010-11-22;2999-12-31;Collins;1955;4010
2010-11-23;2999-12-31;Nina;1955;4540
2010-11-24;2999-12-31;Briella;1955;1829
2010-11-25;2999-12-31;Palmer;1955;2722
2010-11-26;2999-12-31;Noa;1955;1473
2010-11-27;2999-12-31;Mckenzie;1955;1086
2010-11-28;2999-12-31;Kiara;1955;186
2010-11-29;2999-12-31;Amari;1955;658
2010-11-30;2999-12-31;Adriana;1955;2768
2010-12-01;2999-12-31;Gracelynn;1955;2527
2010-12-02;2999-12-31;Lauren;1955;1849
2010-12-03;2999-12-31;Cali;1955;3555
2010-12-04;2999-12-31;Kalani;1955;2157
2010-12-05;2999-12-31;Aniyah;1955;4314
2010-12-06;2999-12-31;Nicole;1955;1076
2010-12-07;2999-12-31;Alexis;1955;859
2010-12-08;2999-12-31;Mariah;1955;2696
2010-12-09;2999-12-31;Gabriela;1955;3979
2010-12-10;2999-12-31;Wynter;1955;3722
2010-12-11;2999-12-31;Amina;1955;2601
2010-12-12;2999-12-31;Ariyah;1955;202
2010-12-13;2999-12-31;Adelynn;1955;2564
2010-12-14;2999-12-31;Remington;1955;389
2010-12-15;2999-12-31;Reign;1955;3115
2010-12-16;2999-12-31;Alaya;1955;26
2010-12-17;2999-12-31;Dream;1955;1995
2010-12-18;2999-12-31;Alexandria;1955;4721
2010-12-19;2999-12-31;Willa;1955;4934
2010-12-20;2999-12-31;Avianna;1955;2501
2010-12-21;2999-12-31;Makayla;1955;4660
2010-12-22;2999-12-31;Gracelyn;1955;2200
2010-12-23;2999-12-31;Elle;1955;3857
2010-12-24;2999-12-31;Amiyah;1955;4784
2010-12-25;2999-12-31;Arielle;1955;2034
2010-12-26;2999-12-31;Elianna;1955;853
2010-12-27;2999-12-31;Giselle;1955;1979
2010-12-28;2999-12-31;Brynn;1955;2792
2010-12-29;2999-12-31;Ainsley;1955;198
2010-12-30;2999-12-31;Aitana;1955;1744
2010-12-31;2999-12-31;Charli;1955;1280
2011-01-01;2999-12-31;Demi;1955;2064
2011-01-02;2999-12-31;Makenna;1955;4302
2011-01-03;2999-12-31;Rosemary;1955;839
2011-01-04;2999-12-31;Danna;1955;556
2011-01-05;2999-12-31;Izabella;1955;757
2011-01-06;2999-12-31;Lilliana;1955;4942
2011-01-07;2999-12-31;Melissa;1956;724
2011-01-08;2999-12-31;Samara;1956;1913
2011-01-09;2999-12-31;Lana;1956;632
2011-01-10;2999-12-31;Mabel;1956;3635
2011-01-11;2999-12-31;Everlee;1956;4671
2011-01-12;2999-12-31;Fatima;1956;4369
2011-01-13;2999-12-31;Leighton;1956;4869
2011-01-14;2999-12-31;Esme;1956;3685
2011-01-15;2999-12-31;Raelyn;1956;2685
2011-01-16;2999-12-31;Madeleine;1956;1638
2011-01-17;2999-12-31;Nayeli;1956;635
2011-01-18;2999-12-31;Camryn;1956;476
2011-01-19;2999-12-31;Kira;1956;2275
2011-01-20;2999-12-31;Annalise;1956;1307
2011-01-21;2999-12-31;Selah;1956;3605
2011-01-22;2999-12-31;Serena;1956;4317
2011-01-23;2999-12-31;Royalty;1956;3844
2011-01-24;2999-12-31;Rylie;1956;1252
2011-01-25;2999-12-31;Celine;1956;1774
2011-01-26;2999-12-31;Laura;1956;1579
2011-01-27;2999-12-31;Brinley;1956;4074
2011-01-28;2999-12-31;Frances;1956;1670
2011-01-29;2999-12-31;Michelle;1956;3340
2011-01-30;2999-12-31;Heidi;1956;2981
2011-01-31;2999-12-31;Rory;1956;1619
2011-02-01;2999-12-31;Sabrina;1956;3223
2011-02-02;2999-12-31;Destiny;1956;1113
2011-02-03;2999-12-31;Gwendolyn;1956;3053
2011-02-04;2999-12-31;Alessandra;1956;2221
2011-02-05;2999-12-31;Poppy;1956;1223
2011-02-06;2999-12-31;Amora;1956;2348
2011-02-07;2999-12-31;Nylah;1956;3063
2011-02-08;2999-12-31;Luciana;1956;1319
2011-02-09;2999-12-31;Maisie;1956;3191
2011-02-10;2999-12-31;Miracle;1956;1895
2011-02-11;2999-12-31;Joy;1956;4316
2011-02-12;2999-12-31;Liana;1956;1096
2011-02-13;2999-12-31;Raven;1956;1554
2011-02-14;2999-12-31;Shiloh;1956;3702
2011-02-15;2999-12-31;Allie;1956;94
2011-02-16;2999-12-31;Daleyza;1956;4793
2011-02-17;2999-12-31;Kate;1956;1717
2011-02-18;2999-12-31;Lyric;1956;3987
2011-02-19;2999-12-31;Alicia;1956;3003
2011-02-20;2999-12-31;Lexi;1956;4488
2011-02-21;2999-12-31;Addilyn;1956;3669
2011-02-22;2999-12-31;Anaya;1956;2272
2011-02-23;2999-12-31;Malani;1956;4209
2011-02-24;2999-12-31;Paislee;1956;2193
2011-02-25;2999-12-31;Elisa;1956;4707
2011-02-26;2999-12-31;Kayleigh;1956;3652
2011-02-27;2999-12-31;Azalea;1956;2206
2019-08-22;2021-07-23;Francesca;1996;142
2019-08-23;2021-07-23;Jordan;1996;4359
2019-08-24;2021-07-23;Regina;1996;3154
2019-08-25;2021-07-23;Viviana;1996;1924
2019-08-26;2021-07-23;Aylin;1996;1472
2019-08-27;2021-07-23;Skye;1996;542
2023-03-10;2999-12-31;Daniella;1996;124
2023-03-10;2999-12-31;Makenzie;1996;278
2023-03-10;2999-12-31;Veronica;1996;185
2023-03-10;2999-12-31;Legacy;1996;2145
2023-03-10;2999-12-31;Maia;1996;2264
2023-03-10;2999-12-31;Ariah;1996;2203
2023-03-10;2999-12-31;Alessia;1996;4172
2023-03-10;2999-12-31;Carmen;1996;1555
2023-03-10;2999-12-31;Astrid;1996;4747
2023-03-10;2999-12-31;Maren;1996;3730
2023-03-10;2999-12-31;Helen;1996;4930
2023-03-10;2999-12-31;Felicity;1996;4532
2023-03-10;2999-12-31;Alexa;1996;545
2023-03-10;2999-12-31;Danielle;1996;3435
2023-03-10;2999-12-31;Lorelei;1996;2344
2023-03-10;2999-12-31;Paris;1996;2872
2023-03-10;2999-12-31;Adelina;1996;908
2023-03-10;2999-12-31;Bianca;1996;1027
2023-03-10;2999-12-31;Gabrielle;1996;2485
2023-03-10;2999-12-31;Jazlyn;1996;3011
2023-03-10;2999-12-31;Scarlet;1996;1788
2023-03-10;2999-12-31;Bristol;1996;2244
2023-03-10;2999-12-31;Navy;1996;366
2023-03-10;2999-12-31;Esmeralda;1996;2001
2023-03-10;2999-12-31;Colette;1996;3363
2023-03-10;2999-12-31;Stephanie;1996;1496
2023-03-10;2999-12-31;Jolene;1996;663
2023-03-10;2999-12-31;Marlee;1996;4180
2023-03-10;2999-12-31;Sarai;1996;4636
2023-03-10;2999-12-31;Hattie;1996;4433
2019-09-27;2021-07-23;Nadia;1996;3527
2019-09-28;2021-07-23;Rosie;1996;21
2019-09-29;2021-07-23;Kamryn;1996;3144
2019-09-30;2021-07-23;Kenzie;1996;3006
2019-10-01;2021-07-23;Alora;1996;4379
2019-10-02;2021-07-23;Holly;1996;760
2019-10-03;2021-07-23;Matilda;1996;422
2019-10-04;2021-07-23;Sylvia;1996;4154
2019-10-05;2021-07-23;Cameron;1996;3415
2019-10-06;2021-07-23;Armani;1996;1452
2019-10-07;2021-07-23;Emelia;1996;1378
2019-10-08;2021-07-23;Keira;1996;1917
2020-01-21;2021-07-23;Braelynn;1997;1025
2020-01-22;2021-07-23;Jacqueline;1997;1862
2020-01-23;2021-07-23;Alison;1998;2517
2020-01-24;2021-07-23;Amanda;1998;3872
2020-01-25;2021-07-23;Cassidy;1998;1372
2020-01-26;2021-07-23;Emory;1998;2219
2020-01-27;2021-07-23;Ari;1998;748
2020-01-28;2021-07-23;Haisley;1998;1636
2020-01-29;2021-07-23;Jimena;1998;2719
2020-01-30;2021-07-23;Jessica;1998;3252
2020-01-31;2021-07-23;Elaine;1998;2924
2020-02-01;2021-07-23;Dorothy;1998;2539
2020-02-02;2021-07-23;Mira;1998;1434
2020-02-03;2021-07-23;Eve;1998;116
2020-02-04;2021-07-23;Oaklee;1998;543
2020-02-05;2021-07-23;Averie;1998;189
2020-02-06;2021-07-23;Charleigh;1998;2896
2013-09-18;2021-09-09;Lyra;1973;2431
2013-09-19;2021-09-09;Madelynn;1973;3600
2013-09-20;2021-09-09;Angel;1973;2701
2013-09-21;2021-09-09;Edith;1973;4995
2013-09-22;2021-09-09;Jennifer;1973;3919
2013-09-23;2021-09-09;Raya;1973;1061
2013-09-24;2021-09-09;Ryan;1973;3540
2013-09-25;2021-09-09;Heaven;1973;4155
2013-09-26;2021-09-09;Kyla;1973;3776
2013-09-27;2021-09-09;Wrenley;1973;2818
2013-09-28;2021-09-09;Meadow;1973;1821
2013-09-29;2021-09-09;Carter;1973;3210
2013-12-19;2021-09-09;Kora;1974;2551
2013-12-20;2021-09-09;Saige;1974;2573
2013-12-21;2021-09-09;Kinley;1974;4307
2013-12-22;2021-09-09;Maci;1974;3522
2013-12-23;2021-09-09;Mae;1974;3274
2013-12-24;2021-09-09;Salem;1974;4638
2013-12-25;2021-09-09;Aisha;1974;4882
2013-12-26;2021-09-09;Adley;1974;888
2013-12-27;2021-09-09;Carolina;1974;3208
2014-03-18;2021-09-09;Sierra;1975;2991
2014-03-19;2021-09-09;Alma;1975;3581
2014-03-20;2021-09-09;Helena;1975;540
2014-03-21;2021-09-09;Bonnie;1975;2383
2014-03-22;2021-09-09;Mylah;1975;1739
2014-03-23;2021-09-09;Briar;1975;461
2014-03-24;2021-09-09;Aurelia;1975;454
2014-03-25;2021-09-09;Leona;1975;2676
2014-03-26;2021-09-09;Macie;1975;3369
2014-03-27;2021-09-09;Maddison;1975;1484
2014-03-28;2021-09-09;April;1975;3106
2014-03-29;2021-09-09;Aviana;1975;4977
2014-03-30;2021-09-09;Lorelai;1975;388
2014-03-31;2021-09-09;Alondra;1975;424
2014-04-01;2021-09-09;Kennedi;1975;4058
2014-04-02;2021-09-09;Monroe;1975;4318
2014-04-03;2021-09-09;Emely;1975;4623
2014-04-04;2021-09-09;Maliyah;1975;4211
2014-04-05;2021-09-09;Ailani;1975;3092
2014-04-06;2021-09-09;Madilynn;1975;4297
2014-04-07;2021-09-09;Renata;1975;25
2014-04-08;2021-09-09;Katie;1975;22
2014-04-09;2021-09-09;Zariah;1975;4592
2014-04-10;2021-09-09;Imani;1975;3062
2014-04-11;2021-09-09;Amber;1975;2263
2014-04-12;2021-09-09;Analia;1975;4418
2014-04-13;2021-09-09;Ariya;1975;4243
2011-06-21;2999-12-31;Anya;1959;410
2011-06-22;2999-12-31;Emberly;1959;1282
2011-06-23;2999-12-31;Emmy;1959;3212
2011-06-24;2999-12-31;Mara;1959;2553
2011-06-25;2999-12-31;Maryam;1959;2146
2011-06-26;2999-12-31;Dior;1959;312
2011-06-27;2999-12-31;Mckinley;1959;2250
2011-06-28;2999-12-31;Virginia;1959;3815
2011-06-29;2999-12-31;Amalia;1959;4374
2011-06-30;2999-12-31;Mallory;1959;1728
2011-07-01;2999-12-31;Opal;1959;4255
2011-07-02;2999-12-31;Shelby;1959;2755
2011-07-03;2999-12-31;Clementine;1959;1632
2011-07-04;2999-12-31;Remy;1959;2228
2011-07-05;2999-12-31;Xiomara;1959;68
2011-07-06;2999-12-31;Elliott;1959;4462
2011-07-07;2999-12-31;Elora;1959;4040
2011-07-08;2999-12-31;Katalina;1959;3602
2011-07-09;2999-12-31;Antonella;1959;164
2011-07-10;2999-12-31;Skyler;1959;1376
2011-07-11;2999-12-31;Hanna;1959;4823
2011-07-12;2999-12-31;Kaliyah;1959;409
2011-07-13;2999-12-31;Alanna;1959;1573
2011-07-14;2999-12-31;Haley;1959;1602
2011-07-15;2999-12-31;Itzel;1959;2375
2011-07-16;2999-12-31;Cecelia;1959;1324
2011-07-17;2999-12-31;Jayleen;1959;4557
2011-07-18;2999-12-31;Kensley;1959;3480
